Step,Forward (ms),Backward (ms),Optimizer (ms),Total (ms),Tokens/s
0,85.25998395634815,157.52983401762322,16.591640014667064,259.38145798863843,15791.414050033658
1,84.99155397294089,157.9887000261806,16.446387977339327,259.4266419764608,15788.663680778214
2,85.49916499760002,157.71353500895202,16.496087017003447,259.7087870235555,15771.51103335019
3,85.77349002007395,158.2733279792592,16.4581710123457,260.50498901167884,15723.30731760523
4,84.74944799672812,157.94114395976067,16.427697031758726,259.1182889882475,15807.452326091026
5,84.63404100621119,157.84539497690275,16.495198011398315,258.97463399451226,15816.2208275842
6,82.57104299264029,157.18397597083822,16.53437304776162,256.2893920112401,15981.933422435062
7,81.02542901178822,157.19439496751875,16.503520018886775,254.72334399819374,16080.19090715551
8,84.42055498016998,158.82745297858492,16.528609034139663,259.77661699289456,15767.392952507478
9,84.41682200646028,158.45744003308937,16.630313999485224,259.5045760390349,15783.922050699703
