,Mean,Std,Min,Max
Forward (ms),84.5657131052576,1.677493837225487,81.23612497001886,86.28292102366686
Backward (ms),157.7799222955946,0.3537950563346543,157.2738840477541,158.64983398932964
Optimizer (ms),16.611974692204967,0.12641806572224776,16.463139036204666,16.932013968471438
Fwd+Bwd (ms),242.3456354008522,1.8769350601411985,238.51000901777297,244.9327550129965
Total (ms),258.95761009305716,1.918559573225414,255.04408398410305,261.46888599032536
Throughput (tok/s),15818.133971490508,117.88810093306492,15665.343830437847,16059.968676847664
