,Mean,Std,Min,Max
Forward (ms),84.33415309409611,1.3802607201708894,81.02542901178822,85.77349002007395
Backward (ms),157.89551999187097,0.5004982159367014,157.18397597083822,158.82745297858492
Optimizer (ms),16.511199716478586,0.06002305470959514,16.427697031758726,16.630313999485224
Fwd+Bwd (ms),242.22967308596708,1.7051575584637102,238.21982397930697,244.04681799933314
Total (ms),258.74087280244567,1.7009698520666272,254.72334399819374,260.50498901167884
Throughput (tok/s),15831.200856824027,105.0751025798192,15723.30731760523,16080.19090715551
