Step,Forward (ms),Backward (ms),Optimizer (ms),Total (ms),Tokens/s
0,84.10720800748095,157.6027530245483,16.577726986724883,258.2876880187541,15858.285895929317
1,81.23612497001886,157.2738840477541,16.53407496633008,255.04408398410305,16059.968676847664
2,85.30675200745463,157.75015897816047,16.54941396554932,259.6063249511644,15777.735772695503
3,85.06716700503603,158.11637899605557,16.709752031601965,259.89329803269356,15760.314063522866
4,81.8443950265646,157.75949199451134,16.590179002378136,256.19406602345407,15987.880061300948
5,86.15210599964485,157.70685696043074,16.67803799500689,260.5370009550825,15721.375409192513
6,86.10133698675781,157.64012600993738,16.932013968471438,260.6734769651666,15713.144458296161
7,86.28292102366686,158.64983398932964,16.536130977328867,261.46888599032536,15665.343830437847
8,85.38050000788644,157.51894196728244,16.463139036204666,259.36258101137355,15792.563383768851
9,84.17862001806498,157.7807969879359,16.549277992453426,258.5086949984543,15844.728162913403
