,Mean,Std,Min,Max
Forward (ms),88.22167160105892,12.18684274883792,81.18075598031282,124.59106399910524
Backward (ms),159.84379198634997,4.812354136844996,157.39646600559354,174.18068897677585
Optimizer (ms),19.144083914579824,7.577335400527489,16.505492036230862,41.875012044329196
Fwd+Bwd (ms),248.06546358740889,16.96500092704995,238.77012595767155,298.7717529758811
Total (ms),267.2095475019887,24.524229846971284,255.3388339583762,340.6467650202103
Throughput (tok/s),15433.40900507465,1140.0811561691562,12024.185815347424,16041.429877711846
